"Time","Python","PHP","C++","JavaScript","Node.js","R","Java"
"2011-11-01",4,5,6,5,0,5,17
"2011-12-01",3,5,5,4,0,9,18
"2012-01-01",4,6,4,5,0,7,18
"2012-02-01",5,5,4,6,0,6,21
"2012-03-01",5,5,3,6,0,9,21
"2012-04-01",6,5,3,6,0,8,22
"2012-05-01",4,6,4,6,0,5,21
"2012-06-01",4,5,4,6,0,6,21
"2012-07-01",6,7,5,7,0,8,23
"2012-08-01",6,4,5,6,0,5,21
"2012-09-01",5,5,4,7,2,5,24
"2012-10-01",7,8,6,6,0,8,30
"2012-11-01",6,7,7,7,0,9,24
"2012-12-01",5,4,6,6,0,7,20
"2013-01-01",7,8,8,8,0,7,30
"2013-02-01",7,8,6,9,0,8,29
"2013-03-01",5,7,5,8,0,8,32
"2013-04-01",5,8,7,7,0,6,33
"2013-05-01",7,8,6,8,0,8,35
"2013-06-01",6,9,5,7,0,7,31
"2013-07-01",6,7,5,7,0,9,38
"2013-08-01",6,7,4,7,0,7,34
"2013-09-01",7,7,8,7,0,6,35
"2013-10-01",8,8,7,9,2,10,35
"2013-11-01",8,6,9,8,0,5,37
"2013-12-01",7,7,7,7,2,9,34
"2014-01-01",8,8,8,8,2,7,39
"2014-02-01",9,10,7,9,2,10,32
"2014-03-01",9,7,9,10,0,7,40
"2014-04-01",6,9,7,8,0,8,38
"2014-05-01",5,4,6,10,0,11,33
"2014-06-01",9,9,10,7,0,7,34
"2014-07-01",7,8,7,9,3,8,34
"2014-08-01",7,7,8,8,5,7,37
"2014-09-01",11,8,8,9,0,8,40
"2014-10-01",11,8,14,11,4,9,39
"2014-11-01",9,11,13,9,0,7,41
"2014-12-01",10,8,12,13,3,9,36
"2015-01-01",10,9,15,12,0,9,42
"2015-02-01",11,10,12,12,3,9,46
"2015-03-01",11,11,10,13,4,11,43
"2015-04-01",12,8,9,12,2,8,43
"2015-05-01",9,7,9,12,4,10,48
"2015-06-01",9,10,9,11,4,7,44
"2015-07-01",12,9,8,13,0,8,46
"2015-08-01",13,10,7,12,5,8,42
"2015-09-01",12,11,13,12,0,7,47
"2015-10-01",17,11,14,18,3,9,53
"2015-11-01",14,11,14,14,4,10,48
"2015-12-01",12,11,11,7,4,9,42
"2016-01-01",15,10,15,15,3,7,47
"2016-02-01",18,9,11,18,4,12,52
"2016-03-01",14,14,12,15,4,12,47
"2016-04-01",15,13,10,15,5,10,46
"2016-05-01",13,11,11,16,3,10,42
"2016-06-01",15,8,13,15,4,6,41
"2016-07-01",11,9,12,17,6,11,38
"2016-08-01",16,11,9,12,0,8,35
"2016-09-01",16,13,10,17,5,11,49
"2016-10-01",21,9,19,18,4,10,52
"2016-11-01",20,12,19,21,4,11,48
"2016-12-01",23,8,20,18,3,13,46
"2017-01-01",0,0,0,0,0,0,0
"2017-02-01",0,0,0,0,0,0,0
"2017-03-01",0,0,0,0,0,0,0
"2017-04-01",0,0,0,0,0,0,0
"2017-05-01",0,0,0,0,0,0,0
"2017-06-01",0,0,0,0,0,0,0
"2017-07-01",0,0,0,0,0,0,0
"2017-08-01",9,4,4,7,3,5,15
"2017-09-01",11,6,6,8,3,4,19
"2017-10-01",13,6,10,10,3,4,23
"2017-11-01",13,7,12,11,4,5,23
"2017-12-01",11,5,9,10,3,5,21
"2018-01-01",11,7,10,11,4,5,22
"2018-02-01",13,8,8,10,3,5,22
"2018-03-01",13,7,7,10,3,4,18
"2018-04-01",11,7,7,10,3,5,18
"2018-05-01",11,7,7,10,3,6,19
"2018-06-01",11,6,6,8,3,4,15
"2018-07-01",11,5,4,8,3,3,13
"2018-08-01",11,4,4,8,2,3,12
"2018-09-01",12,5,7,10,2,4,16
"2018-10-01",15,7,10,11,3,4,23
"2018-11-01",15,7,12,11,3,5,20
"2018-12-01",13,5,10,9,3,5,16
"2019-01-01",16,5,10,11,3,5,18
"2019-02-01",15,7,7,12,4,5,20
"2019-03-01",14,5,7,11,3,6,18
"2019-04-01",15,6,6,11,3,5,16
"2019-05-01",24,11,12,18,6,7,27
"2019-06-01",40,15,17,31,8,9,41
"2019-07-01",43,14,14,31,8,9,41
"2019-08-01",25,9,9,17,3,5,26
"2019-09-01",31,7,10,14,4,6,27
"2019-10-01",32,16,12,18,4,7,39
"2019-11-01",32,12,17,17,5,9,44
"2019-12-01",36,10,11,16,4,10,35
"2020-01-01",31,11,12,23,3,9,36
"2020-02-01",33,11,13,21,6,8,40
"2020-03-01",37,8,10,21,3,10,32
"2020-04-01",43,13,13,21,4,10,37
"2020-05-01",25,8,7,12,2,3,22
"2020-06-01",21,6,7,11,3,3,18
"2020-07-01",17,5,4,8,2,6,14
"2020-08-01",21,5,4,10,2,11,14
"2020-09-01",18,5,5,12,2,10,17
"2020-10-01",26,8,9,15,3,9,28
"2020-11-01",24,9,10,15,3,5,25
"2020-12-01",24,8,6,12,2,5,18
"2021-01-01",24,7,9,14,3,5,21
"2021-02-01",26,7,6,17,4,5,22
"2021-03-01",30,7,8,18,3,5,24
"2021-04-01",28,8,6,16,4,5,20
"2021-05-01",26,8,7,16,3,4,25
"2021-06-01",27,7,5,16,3,4,20
"2021-07-01",26,6,6,14,3,4,15
"2021-08-01",23,5,6,12,3,5,19
"2021-09-01",25,7,6,16,4,5,22
"2021-10-01",34,8,9,18,4,5,31
"2021-11-01",31,10,10,18,4,4,30
"2021-12-01",28,8,8,14,3,3,24
"2022-01-01",28,7,9,16,3,4,23
"2022-02-01",28,9,7,23,5,12,28
"2022-03-01",32,9,8,18,4,7,26
"2022-04-01",31,10,8,20,4,3,25
"2022-05-01",34,9,9,25,5,6,31
"2022-06-01",36,7,9,24,6,5,27
"2022-07-01",34,5,6,20,4,3,35
"2022-08-01",30,5,7,20,4,3,42
"2022-09-01",38,7,11,24,5,6,47
"2022-10-01",48,10,15,28,5,7,50
"2022-11-01",49,12,15,31,6,11,48
"2022-12-01",44,9,11,25,5,25,36
"2023-01-01",51,10,11,29,6,18,39
"2023-02-01",56,10,10,35,6,12,39
"2023-03-01",49,10,10,33,6,12,36
"2023-04-01",47,9,7,30,5,14,35
"2023-05-01",46,10,7,30,6,12,39
"2023-06-01",39,8,7,28,5,12,34
"2023-07-01",35,7,6,25,4,11,28
"2023-08-01",34,5,5,24,4,11,30
"2023-09-01",44,8,8,29,4,13,37
"2023-10-01",54,10,10,31,5,12,46
"2023-11-01",51,10,10,32,5,9,47
"2023-12-01",44,8,8,27,4,6,36
"2024-01-01",46,9,8,31,5,7,50
"2024-02-01",47,11,9,33,5,7,60
"2024-03-01",48,9,8,31,5,7,64
"2024-04-01",59,10,6,35,8,9,62
"2024-05-01",45,9,7,28,5,6,62
"2024-06-01",41,7,6,23,5,8,77
"2024-07-01",35,5,5,20,3,7,79
"2024-08-01",33,4,5,19,3,7,69
"2024-09-01",46,7,7,23,4,7,62
"2024-10-01",49,9,9,24,4,7,58
"2024-11-01",42,7,8,21,4,7,60
"2024-12-01",36,5,7,19,3,5,51
"2025-01-01",40,7,6,21,4,4,54
"2025-02-01",44,7,6,27,6,5,67
"2025-03-01",37,6,5,21,4,5,71
"2025-04-01",33,4,5,17,4,5,81
"2025-05-01",30,5,5,16,3,4,70
"2025-06-01",29,4,5,13,3,4,64
"2025-07-01",26,2,4,13,3,4,60
"2025-08-01",22,3,4,11,3,4,53
"2025-09-01",27,3,5,13,3,5,50
"2025-10-01",32,4,6,14,3,5,72
"2025-11-01",31,4,6,14,2,6,85
"2025-12-01",30,4,5,12,2,5,89
"2026-01-01",32,4,5,13,3,4,100
"2026-02-01",35,3,4,14,2,6,72
"2026-03-01",24,3,4,12,2,11,60
"2026-04-01",20,2,4,9,2,4,48
"2026-05-01",21,2,5,10,1,3,51
"2026-06-01",25,2,5,11,2,3,60
"2026-07-01",24,2,4,14,1,3,67
"2026-08-01",16,1,3,9,1,2,68
"2026-09-01",21,2,4,7,1,3,65
